"CU_ID","Species","Stock","Label","Year","Metric","Value","LBM","UBM","Status","Data_Type"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2007,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2008,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2009,"AbsAbd",11.1119167457077,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2010,"AbsAbd",6.93270938109998,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2011,"AbsAbd",8.6544747526523,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2012,"AbsAbd",8.45069726622771,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2013,"AbsAbd",13.1332358201094,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2014,"AbsAbd",22.8727666534054,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2015,"AbsAbd",30.8143829670097,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2016,"AbsAbd",43.0228696704009,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2017,"AbsAbd",47.2688359959514,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2018,"AbsAbd",31.4373606463772,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2019,"AbsAbd",22.2295708956604,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2020,"AbsAbd",26.1707335204165,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2021,"AbsAbd",28.6255649324776,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2022,"AbsAbd",36.193067934062,1000,10000,"Red","Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2023,"AbsAbd",34.8248055843251,1000,10000,"Red","Abs_Abd"
"CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1995,"RelAbd",38.7826217850268,NA,NA,NA,"Abs_Abd"
"CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1996,"RelAbd",61.8621546801949,NA,NA,NA,"Abs_Abd"
"CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1997,"RelAbd",95.7335064375009,NA,NA,NA,"Abs_Abd"
"CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1998,"RelAbd",143.78241129855,NA,NA,NA,"Abs_Abd"
"CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1999,"RelAbd",131.925020857852,NA,NA,NA,"Abs_Abd"
"CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2000,"RelAbd",146.294880899635,NA,NA,NA,"Abs_Abd"
"CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2001,"RelAbd",137.007168717452,NA,NA,NA,"Abs_Abd"
"CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2002,"RelAbd",111.54116184569,NA,NA,NA,"Abs_Abd"
"CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2003,"RelAbd",124.962270921637,NA,NA,NA,"Abs_Abd"
"CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2004,"RelAbd",94.1756194535331,NA,NA,NA,"Abs_Abd"
"CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2005,"RelAbd",69.697756559969,NA,NA,NA,"Abs_Abd"
"CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2006,"RelAbd",61.4758948433095,NA,NA,NA,"Abs_Abd"
