"","CU_ID","Species","Stock","Label","Year","Metric","Compare","LBM","UBM","Status","DataType","Value"
"39","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2004,"AbsLBM",NA,1000,10000,NA,"Abs_Abd",NA
"40","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2005,"AbsLBM",NA,1000,10000,NA,"Abs_Abd",NA
"41","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2006,"AbsLBM",NA,1000,10000,NA,"Abs_Abd",NA
"42","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2007,"AbsLBM",NA,1000,10000,NA,"Abs_Abd",NA
"43","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2008,"AbsLBM",NA,1000,10000,NA,"Abs_Abd",NA
"44","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2009,"AbsLBM",11.1119167457077,1000,10000,"Red","Abs_Abd",0.0111119167457077
"45","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2010,"AbsLBM",6.93270938109998,1000,10000,"Red","Abs_Abd",0.00693270938109998
"46","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2011,"AbsLBM",8.6544747526523,1000,10000,"Red","Abs_Abd",0.0086544747526523
"47","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2012,"AbsLBM",8.45069726622771,1000,10000,"Red","Abs_Abd",0.00845069726622771
"48","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2013,"AbsLBM",13.1332358201094,1000,10000,"Red","Abs_Abd",0.0131332358201094
"49","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2014,"AbsLBM",22.8727666534054,1000,10000,"Red","Abs_Abd",0.0228727666534054
"50","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2015,"AbsLBM",30.8143829670097,1000,10000,"Red","Abs_Abd",0.0308143829670097
"51","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2016,"AbsLBM",43.0228696704009,1000,10000,"Red","Abs_Abd",0.0430228696704009
"52","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2017,"AbsLBM",47.2688359959514,1000,10000,"Red","Abs_Abd",0.0472688359959514
"53","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2018,"AbsLBM",31.4373606463772,1000,10000,"Red","Abs_Abd",0.0314373606463772
"54","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2019,"AbsLBM",22.2295708956604,1000,10000,"Red","Abs_Abd",0.0222295708956604
"55","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2020,"AbsLBM",26.1707335204165,1000,10000,"Red","Abs_Abd",0.0261707335204165
"56","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2021,"AbsLBM",28.6255649324776,1000,10000,"Red","Abs_Abd",0.0286255649324776
