CU_ID,CU_Name,Species,Year,SpnForAbd_Total,SpnForTrend_Total,SpnForAbd_Wild,SpnForTrend_Wild,Recruits_Wild,Recruits_Total,Abd_StartYr
CK-01,Okanagan_1.x,Chinook,2006,34,34,33,33,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2007,7,7,7,7,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2008,14,14,11,11,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2009,6,6,6,6,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2010,5,5,5,5,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2011,21,21,17,17,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2012,11,11,10,10,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2013,40,40,35,35,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2014,53,53,46,46,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2015,61,61,56,56,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2016,40,40,38,38,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2017,55,55,51,51,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2018,10,10,9,9,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2019,15,15,14,14,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2020,79,79,73,73,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2021,73,73,73,73,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2022,23,23,23,23,NA,NA,2006
CK-01,Okanagan_1.x,Chinook,2023,20,20,12,12,NA,NA,2006
CK-02,Boundary Bay_FA_0.3,Chinook,1980,18,18,18,18,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1981,83,83,83,83,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1982,75,75,75,75,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1983,57,57,57,57,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1984,155,155,155,155,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1985,150,150,150,150,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1986,36,36,36,36,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1987,4,4,4,4,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1988,37,37,37,37,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1989,0.01,0.01,0.01,0.01,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1990,58,58,58,58,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1991,88,88,88,88,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1992,19,19,19,19,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1993,34,34,34,34,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1994,34,34,34,34,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1995,103,103,103,103,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1996,123,123,123,123,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1997,195,195,195,195,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1998,173,173,173,173,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,1999,73,73,73,73,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2000,186,186,186,186,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2001,150,150,150,150,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2002,76,76,76,76,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2003,115,115,115,115,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2004,60,60,60,60,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2005,45,45,45,45,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2006,46,46,46,46,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2007,112,112,112,112,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2008,31,31,31,31,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2009,65,65,65,65,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2010,317,317,317,317,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2011,266,266,266,266,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2012,231,231,231,231,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2013,202,202,202,202,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2014,106,106,106,106,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2015,113,113,113,113,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2016,157,157,157,157,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2017,101,101,101,101,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2018,76,76,76,76,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2019,413,413,413,413,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2020,432,432,432,432,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2021,304,304,304,304,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2022,451,451,451,451,NA,NA,1980
CK-02,Boundary Bay_FA_0.3,Chinook,2023,596,596,596,596,NA,NA,1980
CK_03,Lower Fraser River_FA_0.3,Chinook,1984,119069,119069,119069,119069,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1985,172698,172698,172698,172698,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1986,160997,160997,160997,160997,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1987,76394,76394,76394,76394,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1988,33639,33639,33639,33639,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1989,72305,72305,72305,72305,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1990,172905,172905,172905,172905,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1991,87866,87866,87866,87866,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1992,124604,124604,124604,124604,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1993,107495,107495,107495,107495,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1994,97896,97896,97896,97896,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1995,26746,26746,26746,26746,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1996,32570,32570,32570,32570,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1997,65311,65311,65311,65311,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1998,185072,185072,185072,185072,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,1999,95973,95973,95973,95973,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2000,80480,80480,80480,80480,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2001,107986,107986,107986,107986,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2002,86783,86783,86783,86783,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2003,243351,243351,243351,243351,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2004,135247,135247,135247,135247,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2005,80350,80350,80350,80350,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2006,55548,55548,55548,55548,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2007,76667,76667,76667,76667,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2008,39685,39685,39685,39685,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2009,72742,72742,72742,72742,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2010,103212,103212,103212,103212,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2011,122090,122090,122090,122090,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2012,46038,46038,46038,46038,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2013,45768,45768,45768,45768,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2014,45011,45011,45011,45011,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2015,10361,10361,10361,10361,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2016,44485,44485,44485,44485,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2017,29933,29933,29933,29933,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2018,45736,45736,45736,45736,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2019,43922,43922,43922,43922,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2020,41003,41003,41003,41003,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2021,40211,40211,40211,40211,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2022,82859,82859,82859,82859,NA,NA,1984
CK_03,Lower Fraser River_FA_0.3,Chinook,2023,146371,146371,146371,146371,NA,NA,1984
CK_04,Lower Fraser River_SP_1.3,Chinook,1975,356,356,356,356,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1976,473,473,473,473,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1977,891,891,891,891,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1978,461,461,461,461,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1979,470,470,470,470,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1980,340,340,340,340,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1981,135,135,135,135,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1982,846,846,846,846,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1983,640,640,640,640,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1984,571,571,571,571,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1985,218,218,218,218,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1986,273,273,273,273,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1987,130,130,130,130,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1988,687,687,687,687,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1989,303,303,303,303,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1990,441,441,441,441,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1991,273,273,273,273,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1992,788,788,788,788,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1993,263,263,263,263,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1994,379,379,379,379,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1995,183,183,183,183,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1996,344,344,344,344,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1997,634,634,634,634,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1998,636,636,636,636,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,1999,166,166,166,166,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2000,446,446,446,446,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2001,703,703,703,703,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2002,512,512,512,512,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2003,480,480,480,480,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2004,202,202,202,202,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2005,1491,1491,1491,1491,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2006,1259,1259,1259,1259,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2007,1968,1968,1968,1968,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2008,234,234,234,234,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2009,631,631,631,631,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2010,1520,1520,1520,1520,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2011,941,941,941,941,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2012,624,624,624,624,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2013,224,224,224,224,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2014,383,383,383,383,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2015,508,508,508,508,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2016,238,238,238,238,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2017,320,320,320,320,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2018,144,144,144,144,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2019,178,178,178,178,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2020,191,191,191,191,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2021,134,134,134,134,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2022,275,275,275,275,NA,NA,1975
CK_04,Lower Fraser River_SP_1.3,Chinook,2023,357,357,357,357,NA,NA,1975
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2002,276,276,276,276,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2003,180,180,180,180,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2004,NA,NA,NA,NA,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2005,188,188,188,188,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2006,211,211,211,211,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2007,103,103,103,103,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2008,198,198,198,198,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2009,105,105,105,105,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2010,85,85,85,85,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2011,178,178,178,178,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2012,103,103,103,103,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2013,NA,NA,NA,NA,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2014,75,75,75,75,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2015,NA,NA,NA,NA,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2016,49,49,49,49,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2017,74,74,74,74,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2018,175,175,175,175,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2019,18,18,18,18,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2020,46,46,46,46,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2021,86,86,86,86,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2022,11,11,11,11,NA,NA,2002
CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,2023,69,69,69,69,NA,NA,2002
CK_06,Lower Fraser River_SU_1.3,Chinook,2005,NA,NA,NA,NA,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2006,NA,NA,NA,NA,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2007,NA,NA,NA,NA,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2008,NA,NA,NA,NA,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2009,NA,NA,NA,NA,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2010,NA,NA,NA,NA,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2011,NA,NA,NA,NA,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2012,NA,NA,NA,NA,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2013,NA,NA,NA,NA,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2014,NA,NA,NA,NA,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2015,94,94,94,94,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2016,48,48,48,48,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2017,105,105,105,105,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2018,20,20,20,20,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2019,31,31,31,31,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2020,66,66,66,66,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2021,60,60,60,60,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2022,12,12,12,12,NA,NA,2005
CK_06,Lower Fraser River_SU_1.3,Chinook,2023,82,82,82,82,NA,NA,2005
CK_07,Maria Slough_SU_0.3,Chinook,1996,100,100,100,100,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,1997,100,100,100,100,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,1998,150,150,150,150,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,1999,198,198,198,198,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2000,266,266,266,266,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2001,400,400,400,400,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2002,865,865,865,865,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2003,729,729,729,729,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2004,NA,NA,NA,NA,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2005,325,325,325,325,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2006,269,269,269,269,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2007,654,654,654,654,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2008,628,628,628,628,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2009,594,594,594,594,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2010,617,617,617,617,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2011,1509,1509,1509,1509,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2012,328,328,328,328,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2013,1043,1043,1043,1043,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2014,346,346,346,346,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2015,1238,1238,1238,1238,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2016,105,105,105,105,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2017,71,71,71,71,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2018,0,0,0.01,0.01,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2019,302,302,302,302,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2020,26,26,26,26,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2021,32,32,32,32,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2022,38,38,38,38,NA,NA,1996
CK_07,Maria Slough_SU_0.3,Chinook,2023,69,69,69,69,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,1996,NA,NA,NA,NA,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,1997,31,31,31,31,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,1998,8,8,8,8,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,1999,NA,NA,NA,NA,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2000,40,40,40,40,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2001,97,97,97,97,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2002,169,169,169,169,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2003,89,89,89,89,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2004,54,54,54,54,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2005,NA,NA,NA,NA,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2006,NA,NA,NA,NA,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2007,NA,NA,NA,NA,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2008,NA,NA,NA,NA,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2009,17,17,17,17,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2010,2,2,2,2,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2011,11,11,11,11,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2012,65,65,65,65,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2013,34,34,34,34,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2014,2,2,2,2,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2015,6,6,6,6,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2016,17,17,17,17,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2017,8,8,8,8,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2018,11,11,11,11,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2019,80,80,80,80,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2020,71,71,71,71,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2021,30,30,30,30,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2022,86,86,86,86,NA,NA,1996
CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,2023,108,108,108,108,NA,NA,1996
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2000,46,46,46,46,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2001,248,248,248,248,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2002,445,445,445,445,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2003,158,158,158,158,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2004,103,103,103,103,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2005,83,83,83,83,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2006,245,245,245,245,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2007,51,51,51,51,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2008,217,217,217,217,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2009,74,74,74,74,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2010,123,123,123,123,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2011,65,65,65,65,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2012,37,37,37,37,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2013,34,34,34,34,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2014,77,77,77,77,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2015,83,83,83,83,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2016,12,12,12,12,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2017,20,20,20,20,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2018,35,35,35,35,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2019,191,191,191,191,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2020,25,25,25,25,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2021,12,12,12,12,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2022,46,46,46,46,NA,NA,2000
CK_09,Middle Fraser River-Portage_FA_1.3,Chinook,2023,138,138,138,138,NA,NA,2000
CK_10,Middle Fraser River_SP_1.3,Chinook,1995,17981.21581,17981.21581,16091.03209,16091.03209,NA,NA,1995
CK_10,Middle Fraser River_SP_1.3,Chinook,1996,14693.88008,14693.88008,11779.4684,11779.4684,NA,NA,1995
CK_10,Middle Fraser River_SP_1.3,Chinook,1997,12048.7563,12048.7563,10617.84373,10617.84373,NA,NA,1995
CK_10,Middle Fraser River_SP_1.3,Chinook,1998,7242.487563,7242.487563,5980.487563,5980.487563,NA,NA,1995
CK_10,Middle Fraser River_SP_1.3,Chinook,1999,7752.334973,7752.334973,6406.334973,6406.334973,NA,NA,1995
CK_10,Middle Fraser River_SP_1.3,Chinook,2000,7907.038572,7907.038572,6749.038572,6749.038572,NA,NA,1995
CK_10,Middle Fraser River_SP_1.3,Chinook,2001,6222.4031,6222.4031,5506.4031,5506.4031,NA,NA,1995
CK_10,Middle Fraser River_SP_1.3,Chinook,2002,8375.564983,8375.564983,6594.564983,6594.564983,NA,NA,1995
CK_10,Middle Fraser River_SP_1.3,Chinook,2003,12800.58079,12800.58079,10974.72007,10974.72007,NA,NA,1995
CK_10,Middle Fraser River_SP_1.3,Chinook,2004,6204.995093,6204.995093,4731.311993,4731.311993,NA,NA,1995
CK_10,Middle Fraser River_SP_1.3,Chinook,2005,4997.856953,4997.856953,4415.856953,4415.856953,NA,NA,1995
CK_10,Middle Fraser River_SP_1.3,Chinook,2006,4341.024527,4341.024527,3954.024527,3954.024527,NA,NA,1995
CK_10,Middle Fraser River_SP_1.3,Chinook,2007,1746.631877,1746.631877,1470.631877,1470.631877,NA,NA,1995
